Frequency,AngleAttack,ChordLength,FreeStreamVelocity,SuctionSide,Sound
6300,0.0,0.3048,31.7,0.00331266,113.775
8000,0.0,0.3048,31.7,0.00331266,110.515
10000,0.0,0.3048,31.7,0.00331266,108.265
800,1.5,0.3048,71.3,0.00336729,127.12200000000001
1000,1.5,0.3048,71.3,0.00336729,125.992
1250,1.5,0.3048,71.3,0.00336729,125.87200000000001
1600,1.5,0.3048,71.3,0.00336729,126.632
2000,1.5,0.3048,71.3,0.00336729,126.64200000000001
2500,1.5,0.3048,71.3,0.00336729,124.512
3150,1.5,0.3048,71.3,0.00336729,123.39200000000001
4000,1.5,0.3048,71.3,0.00336729,121.762
5000,1.5,0.3048,71.3,0.00336729,119.632
6300,1.5,0.3048,71.3,0.00336729,118.12200000000001
8000,1.5,0.3048,71.3,0.00336729,115.37200000000001
10000,1.5,0.3048,71.3,0.00336729,113.492
12500,1.5,0.3048,71.3,0.00336729,109.22200000000001
16000,1.5,0.3048,71.3,0.00336729,106.58200000000001
315,1.5,0.3048,39.6,0.00392107,121.851
400,1.5,0.3048,39.6,0.00392107,124.001
500,1.5,0.3048,39.6,0.00392107,126.661
630,1.5,0.3048,39.6,0.00392107,128.311
800,1.5,0.3048,39.6,0.00392107,128.83100000000002
1000,1.5,0.3048,39.6,0.00392107,127.581
1250,1.5,0.3048,39.6,0.00392107,125.211
1600,1.5,0.3048,39.6,0.00392107,122.211
2000,1.5,0.3048,39.6,0.00392107,122.101
2500,1.5,0.3048,39.6,0.00392107,120.98100000000001
3150,1.5,0.3048,39.6,0.00392107,119.111
4000,1.5,0.3048,39.6,0.00392107,117.741
5000,1.5,0.3048,39.6,0.00392107,116.241
6300,1.5,0.3048,39.6,0.00392107,114.751
8000,1.5,0.3048,39.6,0.00392107,112.251
10000,1.5,0.3048,39.6,0.00392107,108.991
12500,1.5,0.3048,39.6,0.00392107,106.111
400,3.0,0.3048,71.3,0.00425727,127.564
500,3.0,0.3048,71.3,0.00425727,128.454
630,3.0,0.3048,71.3,0.00425727,129.35399999999998
800,3.0,0.3048,71.3,0.00425727,129.494
1000,3.0,0.3048,71.3,0.00425727,129.004
1250,3.0,0.3048,71.3,0.00425727,127.634
1600,3.0,0.3048,71.3,0.00425727,126.514
2000,3.0,0.3048,71.3,0.00425727,125.524
2500,3.0,0.3048,71.3,0.00425727,124.024
3150,3.0,0.3048,71.3,0.00425727,121.514
4000,3.0,0.3048,71.3,0.00425727,120.264
5000,3.0,0.3048,71.3,0.00425727,118.134
6300,3.0,0.3048,71.3,0.00425727,116.134
8000,3.0,0.3048,71.3,0.00425727,114.634
10000,3.0,0.3048,71.3,0.00425727,110.22399999999999
400,3.0,0.3048,55.5,0.00452492,126.15899999999999
500,3.0,0.3048,55.5,0.00452492,128.179
630,3.0,0.3048,55.5,0.00452492,129.569
800,3.0,0.3048,55.5,0.00452492,129.94899999999998
1000,3.0,0.3048,55.5,0.00452492,129.329
1250,3.0,0.3048,55.5,0.00452492,127.329
1600,3.0,0.3048,55.5,0.00452492,124.439
2000,3.0,0.3048,55.5,0.00452492,123.069
2500,3.0,0.3048,55.5,0.00452492,122.439
3150,3.0,0.3048,55.5,0.00452492,120.189
4000,3.0,0.3048,55.5,0.00452492,118.689
5000,3.0,0.3048,55.5,0.00452492,117.309
6300,3.0,0.3048,55.5,0.00452492,115.679
8000,3.0,0.3048,55.5,0.00452492,113.79899999999999
10000,3.0,0.3048,55.5,0.00452492,112.169
315,3.0,0.3048,39.6,0.00495741,123.31200000000001
400,3.0,0.3048,39.6,0.00495741,125.47200000000001
500,3.0,0.3048,39.6,0.00495741,127.632
630,3.0,0.3048,39.6,0.00495741,129.292
800,3.0,0.3048,39.6,0.00495741,129.55200000000002
1000,3.0,0.3048,39.6,0.00495741,128.312
1250,3.0,0.3048,39.6,0.00495741,125.802
1600,3.0,0.3048,39.6,0.00495741,122.78200000000001
2000,3.0,0.3048,39.6,0.00495741,120.53200000000001
2500,3.0,0.3048,39.6,0.00495741,120.162
3150,3.0,0.3048,39.6,0.00495741,118.92200000000001
4000,3.0,0.3048,39.6,0.00495741,116.792
5000,3.0,0.3048,39.6,0.00495741,115.792
6300,3.0,0.3048,39.6,0.00495741,114.042
8000,3.0,0.3048,39.6,0.00495741,110.652
315,3.0,0.3048,31.7,0.00529514,123.118
400,3.0,0.3048,31.7,0.00529514,125.398
500,3.0,0.3048,31.7,0.00529514,127.54799999999999
630,3.0,0.3048,31.7,0.00529514,128.69799999999998
800,3.0,0.3048,31.7,0.00529514,128.708
1000,3.0,0.3048,31.7,0.00529514,126.838
1250,3.0,0.3048,31.7,0.00529514,124.838
1600,3.0,0.3048,31.7,0.00529514,122.088
2000,3.0,0.3048,31.7,0.00529514,120.088
2500,3.0,0.3048,31.7,0.00529514,119.598
3150,3.0,0.3048,31.7,0.00529514,118.10799999999999
4000,3.0,0.3048,31.7,0.00529514,115.60799999999999
5000,3.0,0.3048,31.7,0.00529514,113.85799999999999
6300,3.0,0.3048,31.7,0.00529514,109.71799999999999
250,4.0,0.3048,71.3,0.00497773,126.395
315,4.0,0.3048,71.3,0.00497773,128.175
400,4.0,0.3048,71.3,0.00497773,129.575
500,4.0,0.3048,71.3,0.00497773,130.715
630,4.0,0.3048,71.3,0.00497773,131.615
800,4.0,0.3048,71.3,0.00497773,131.755
1000,4.0,0.3048,71.3,0.00497773,131.015
1250,4.0,0.3048,71.3,0.00497773,129.395
1600,4.0,0.3048,71.3,0.00497773,126.645
2000,4.0,0.3048,71.3,0.00497773,124.395
2500,4.0,0.3048,71.3,0.00497773,123.775
3150,4.0,0.3048,71.3,0.00497773,121.775
4000,4.0,0.3048,71.3,0.00497773,119.535
5000,4.0,0.3048,71.3,0.00497773,117.785
6300,4.0,0.3048,71.3,0.00497773,116.165
8000,4.0,0.3048,71.3,0.00497773,113.665
10000,4.0,0.3048,71.3,0.00497773,110.905
12500,4.0,0.3048,71.3,0.00497773,107.405
250,4.0,0.3048,39.6,0.00579636,123.54299999999999
315,4.0,0.3048,39.6,0.00579636,126.84299999999999
400,4.0,0.3048,39.6,0.00579636,128.63299999999998
500,4.0,0.3048,39.6,0.00579636,130.173
630,4.0,0.3048,39.6,0.00579636,131.07299999999998
800,4.0,0.3048,39.6,0.00579636,130.72299999999998
1000,4.0,0.3048,39.6,0.00579636,128.72299999999998
1250,4.0,0.3048,39.6,0.00579636,126.34299999999999
1600,4.0,0.3048,39.6,0.00579636,123.213
2000,4.0,0.3048,39.6,0.00579636,120.963
2500,4.0,0.3048,39.6,0.00579636,120.23299999999999
3150,4.0,0.3048,39.6,0.00579636,118.743
4000,4.0,0.3048,39.6,0.00579636,115.863
5000,4.0,0.3048,39.6,0.00579636,113.73299999999999
1250,0.0,0.2286,71.3,0.00214345,128.144
1600,0.0,0.2286,71.3,0.00214345,129.134
2000,0.0,0.2286,71.3,0.00214345,128.244
2500,0.0,0.2286,71.3,0.00214345,128.35399999999998
3150,0.0,0.2286,71.3,0.00214345,127.834
4000,0.0,0.2286,71.3,0.00214345,125.824
5000,0.0,0.2286,71.3,0.00214345,124.304
6300,0.0,0.2286,71.3,0.00214345,122.044
8000,0.0,0.2286,71.3,0.00214345,118.024
10000,0.0,0.2286,71.3,0.00214345,118.134
12500,0.0,0.2286,71.3,0.00214345,117.624
16000,0.0,0.2286,71.3,0.00214345,114.984
20000,0.0,0.2286,71.3,0.00214345,114.47399999999999
315,0.0,0.2286,55.5,0.00229336,119.54
400,0.0,0.2286,55.5,0.00229336,121.66
500,0.0,0.2286,55.5,0.00229336,123.78
630,0.0,0.2286,55.5,0.00229336,126.16
800,0.0,0.2286,55.5,0.00229336,127.53
1000,0.0,0.2286,55.5,0.00229336,128.29
1250,0.0,0.2286,55.5,0.00229336,127.91
1600,0.0,0.2286,55.5,0.00229336,126.79
2000,0.0,0.2286,55.5,0.00229336,126.54
2500,0.0,0.2286,55.5,0.00229336,126.54
3150,0.0,0.2286,55.5,0.00229336,125.16
4000,0.0,0.2286,55.5,0.00229336,123.41
5000,0.0,0.2286,55.5,0.00229336,122.41
6300,0.0,0.2286,55.5,0.00229336,118.41
315,0.0,0.2286,39.6,0.00253511,121.055
400,0.0,0.2286,39.6,0.00253511,123.565
500,0.0,0.2286,39.6,0.00253511,126.195
630,0.0,0.2286,39.6,0.00253511,128.705
800,0.0,0.2286,39.6,0.00253511,130.205
1000,0.0,0.2286,39.6,0.00253511,130.435
1250,0.0,0.2286,39.6,0.00253511,129.395
1600,0.0,0.2286,39.6,0.00253511,127.095
2000,0.0,0.2286,39.6,0.00253511,125.305
2500,0.0,0.2286,39.6,0.00253511,125.025
3150,0.0,0.2286,39.6,0.00253511,124.625
4000,0.0,0.2286,39.6,0.00253511,123.465
5000,0.0,0.2286,39.6,0.00253511,122.175
6300,0.0,0.2286,39.6,0.00253511,117.465
315,0.0,0.2286,31.7,0.0027238,120.595
400,0.0,0.2286,31.7,0.0027238,123.635
500,0.0,0.2286,31.7,0.0027238,126.675
630,0.0,0.2286,31.7,0.0027238,129.465
800,0.0,0.2286,31.7,0.0027238,130.725
1000,0.0,0.2286,31.7,0.0027238,130.595
1250,0.0,0.2286,31.7,0.0027238,128.805
1600,0.0,0.2286,31.7,0.0027238,125.625
2000,0.0,0.2286,31.7,0.0027238,123.455
2500,0.0,0.2286,31.7,0.0027238,123.445
3150,0.0,0.2286,31.7,0.0027238,123.445
4000,0.0,0.2286,31.7,0.0027238,122.035
5000,0.0,0.2286,31.7,0.0027238,120.505
6300,0.0,0.2286,31.7,0.0027238,116.815
400,2.0,0.2286,71.3,0.00293031,125.116
500,2.0,0.2286,71.3,0.00293031,126.486
630,2.0,0.2286,71.3,0.00293031,127.35600000000001
800,2.0,0.2286,71.3,0.00293031,128.216
1000,2.0,0.2286,71.3,0.00293031,128.95600000000002
1250,2.0,0.2286,71.3,0.00293031,128.816
1600,2.0,0.2286,71.3,0.00293031,127.796
2000,2.0,0.2286,71.3,0.00293031,126.896
2500,2.0,0.2286,71.3,0.00293031,127.006
3150,2.0,0.2286,71.3,0.00293031,126.116
4000,2.0,0.2286,71.3,0.00293031,124.086
5000,2.0,0.2286,71.3,0.00293031,122.816
6300,2.0,0.2286,71.3,0.00293031,120.786
8000,2.0,0.2286,71.3,0.00293031,115.99600000000001
10000,2.0,0.2286,71.3,0.00293031,113.086
400,2.0,0.2286,55.5,0.00313525,122.292
500,2.0,0.2286,55.5,0.00313525,124.69200000000001
630,2.0,0.2286,55.5,0.00313525,126.84200000000001
800,2.0,0.2286,55.5,0.00313525,128.49200000000002
1000,2.0,0.2286,55.5,0.00313525,129.002
1250,2.0,0.2286,55.5,0.00313525,128.762
1600,2.0,0.2286,55.5,0.00313525,126.75200000000001
2000,2.0,0.2286,55.5,0.00313525,124.61200000000001
2500,2.0,0.2286,55.5,0.00313525,123.86200000000001
3150,2.0,0.2286,55.5,0.00313525,123.742
4000,2.0,0.2286,55.5,0.00313525,122.23200000000001
5000,2.0,0.2286,55.5,0.00313525,120.47200000000001
6300,2.0,0.2286,55.5,0.00313525,118.712
315,2.0,0.2286,39.6,0.00346574,120.137
400,2.0,0.2286,39.6,0.00346574,122.147
500,2.0,0.2286,39.6,0.00346574,125.15700000000001
630,2.0,0.2286,39.6,0.00346574,127.417
800,2.0,0.2286,39.6,0.00346574,129.037
1000,2.0,0.2286,39.6,0.00346574,129.14700000000002
1250,2.0,0.2286,39.6,0.00346574,128.257
1600,2.0,0.2286,39.6,0.00346574,125.837
2000,2.0,0.2286,39.6,0.00346574,122.79700000000001
2500,2.0,0.2286,39.6,0.00346574,121.397
3150,2.0,0.2286,39.6,0.00346574,121.62700000000001
4000,2.0,0.2286,39.6,0.00346574,120.227
5000,2.0,0.2286,39.6,0.00346574,118.82700000000001
6300,2.0,0.2286,39.6,0.00346574,116.417
315,2.0,0.2286,31.7,0.00372371,120.147
400,2.0,0.2286,31.7,0.00372371,123.417
500,2.0,0.2286,31.7,0.00372371,126.677
630,2.0,0.2286,31.7,0.00372371,129.05700000000002
800,2.0,0.2286,31.7,0.00372371,130.30700000000002
1000,2.0,0.2286,31.7,0.00372371,130.30700000000002
1250,2.0,0.2286,31.7,0.00372371,128.67700000000002
1600,2.0,0.2286,31.7,0.00372371,125.79700000000001
2000,2.0,0.2286,31.7,0.00372371,123.037
2500,2.0,0.2286,31.7,0.00372371,121.40700000000001
3150,2.0,0.2286,31.7,0.00372371,121.527
4000,2.0,0.2286,31.7,0.00372371,120.527
5000,2.0,0.2286,31.7,0.00372371,118.26700000000001
6300,2.0,0.2286,31.7,0.00372371,115.137
500,4.0,0.2286,71.3,0.00400603,126.758
630,4.0,0.2286,71.3,0.00400603,129.03799999999998
800,4.0,0.2286,71.3,0.00400603,130.688
1000,4.0,0.2286,71.3,0.00400603,131.708
1250,4.0,0.2286,71.3,0.00400603,131.718
1600,4.0,0.2286,71.3,0.00400603,129.468
2000,4.0,0.2286,71.3,0.00400603,126.21799999999999
2500,4.0,0.2286,71.3,0.00400603,124.338
3150,4.0,0.2286,71.3,0.00400603,124.10799999999999
4000,4.0,0.2286,71.3,0.00400603,121.728
5000,4.0,0.2286,71.3,0.00400603,121.118
6300,4.0,0.2286,71.3,0.00400603,118.618
8000,4.0,0.2286,71.3,0.00400603,112.848
10000,4.0,0.2286,71.3,0.00400603,113.10799999999999
12500,4.0,0.2286,71.3,0.00400603,114.258
16000,4.0,0.2286,71.3,0.00400603,112.76799999999999
20000,4.0,0.2286,71.3,0.00400603,109.63799999999999
400,4.0,0.2286,55.5,0.0042861999999999996,123.274
500,4.0,0.2286,55.5,0.0042861999999999996,127.314
630,4.0,0.2286,55.5,0.0042861999999999996,129.964
800,4.0,0.2286,55.5,0.0042861999999999996,131.864
1000,4.0,0.2286,55.5,0.0042861999999999996,132.134
1250,4.0,0.2286,55.5,0.0042861999999999996,131.264
1600,4.0,0.2286,55.5,0.0042861999999999996,128.264
2000,4.0,0.2286,55.5,0.0042861999999999996,124.25399999999999
2500,4.0,0.2286,55.5,0.0042861999999999996,122.384
3150,4.0,0.2286,55.5,0.0042861999999999996,122.39399999999999
4000,4.0,0.2286,55.5,0.0042861999999999996,120.654
5000,4.0,0.2286,55.5,0.0042861999999999996,120.03399999999999
6300,4.0,0.2286,55.5,0.0042861999999999996,117.154
8000,4.0,0.2286,55.5,0.0042861999999999996,112.524
315,4.0,0.2286,39.6,0.00473801,122.229
400,4.0,0.2286,39.6,0.00473801,123.87899999999999
500,4.0,0.2286,39.6,0.00473801,127.039
630,4.0,0.2286,39.6,0.00473801,129.579
800,4.0,0.2286,39.6,0.00473801,130.469
1000,4.0,0.2286,39.6,0.00473801,129.969
1250,4.0,0.2286,39.6,0.00473801,128.339
1600,4.0,0.2286,39.6,0.00473801,125.319
2000,4.0,0.2286,39.6,0.00473801,121.65899999999999
2500,4.0,0.2286,39.6,0.00473801,119.649
3150,4.0,0.2286,39.6,0.00473801,120.419
4000,4.0,0.2286,39.6,0.00473801,119.15899999999999
5000,4.0,0.2286,39.6,0.00473801,117.649
6300,4.0,0.2286,39.6,0.00473801,114.249
8000,4.0,0.2286,39.6,0.00473801,113.12899999999999
250,4.0,0.2286,31.7,0.00509068,120.189
315,4.0,0.2286,31.7,0.00509068,123.609
400,4.0,0.2286,31.7,0.00509068,126.149
500,4.0,0.2286,31.7,0.00509068,128.939
630,4.0,0.2286,31.7,0.00509068,130.349
800,4.0,0.2286,31.7,0.00509068,130.869
1000,4.0,0.2286,31.7,0.00509068,129.869
1250,4.0,0.2286,31.7,0.00509068,128.119
1600,4.0,0.2286,31.7,0.00509068,125.229
2000,4.0,0.2286,31.7,0.00509068,122.089
2500,4.0,0.2286,31.7,0.00509068,120.209
3150,4.0,0.2286,31.7,0.00509068,120.229
4000,4.0,0.2286,31.7,0.00509068,118.859
5000,4.0,0.2286,31.7,0.00509068,115.969
6300,4.0,0.2286,31.7,0.00509068,112.699
400,5.3,0.2286,71.3,0.0051942,127.7
500,5.3,0.2286,71.3,0.0051942,129.88
630,5.3,0.2286,71.3,0.0051942,131.8
800,5.3,0.2286,71.3,0.0051942,133.48
1000,5.3,0.2286,71.3,0.0051942,134.0
1250,5.3,0.2286,71.3,0.0051942,133.38
1600,5.3,0.2286,71.3,0.0051942,130.46
2000,5.3,0.2286,71.3,0.0051942,125.89
2500,5.3,0.2286,71.3,0.0051942,123.74
3150,5.3,0.2286,71.3,0.0051942,123.12
4000,5.3,0.2286,71.3,0.0051942,120.33
5000,5.3,0.2286,71.3,0.0051942,118.05
6300,5.3,0.2286,71.3,0.0051942,116.92
8000,5.3,0.2286,71.3,0.0051942,114.9
10000,5.3,0.2286,71.3,0.0051942,111.35
250,5.3,0.2286,39.6,0.00614329,127.01100000000001
315,5.3,0.2286,39.6,0.00614329,129.691
400,5.3,0.2286,39.6,0.00614329,131.221
500,5.3,0.2286,39.6,0.00614329,132.251
630,5.3,0.2286,39.6,0.00614329,132.011
800,5.3,0.2286,39.6,0.00614329,129.491
1000,5.3,0.2286,39.6,0.00614329,125.581
1250,5.3,0.2286,39.6,0.00614329,125.721
1600,5.3,0.2286,39.6,0.00614329,123.081
2000,5.3,0.2286,39.6,0.00614329,117.911
2500,5.3,0.2286,39.6,0.00614329,116.15100000000001
3150,5.3,0.2286,39.6,0.00614329,118.441
4000,5.3,0.2286,39.6,0.00614329,115.801
5000,5.3,0.2286,39.6,0.00614329,115.311
6300,5.3,0.2286,39.6,0.00614329,112.541
200,7.3,0.2286,71.3,0.010440399999999999,138.75799999999998
250,7.3,0.2286,71.3,0.010440399999999999,139.918
315,7.3,0.2286,71.3,0.010440399999999999,139.808
400,7.3,0.2286,71.3,0.010440399999999999,139.438
500,7.3,0.2286,71.3,0.010440399999999999,136.798
630,7.3,0.2286,71.3,0.010440399999999999,133.768
800,7.3,0.2286,71.3,0.010440399999999999,130.748
1000,7.3,0.2286,71.3,0.010440399999999999,126.838
1250,7.3,0.2286,71.3,0.010440399999999999,127.35799999999999
1600,7.3,0.2286,71.3,0.010440399999999999,125.728
2000,7.3,0.2286,71.3,0.010440399999999999,122.708
2500,7.3,0.2286,71.3,0.010440399999999999,122.088
3150,7.3,0.2286,71.3,0.010440399999999999,120.458
4000,7.3,0.2286,71.3,0.010440399999999999,119.208
5000,7.3,0.2286,71.3,0.010440399999999999,115.29799999999999
6300,7.3,0.2286,71.3,0.010440399999999999,115.818
200,7.3,0.2286,55.5,0.011170600000000001,135.234
250,7.3,0.2286,55.5,0.011170600000000001,136.384
315,7.3,0.2286,55.5,0.011170600000000001,136.284
400,7.3,0.2286,55.5,0.011170600000000001,135.924
500,7.3,0.2286,55.5,0.011170600000000001,133.174
630,7.3,0.2286,55.5,0.011170600000000001,130.934
800,7.3,0.2286,55.5,0.011170600000000001,128.444
1000,7.3,0.2286,55.5,0.011170600000000001,125.194
1250,7.3,0.2286,55.5,0.011170600000000001,125.72399999999999
1600,7.3,0.2286,55.5,0.011170600000000001,123.354
2000,7.3,0.2286,55.5,0.011170600000000001,120.354
2500,7.3,0.2286,55.5,0.011170600000000001,118.994
3150,7.3,0.2286,55.5,0.011170600000000001,117.134
4000,7.3,0.2286,55.5,0.011170600000000001,117.28399999999999
5000,7.3,0.2286,55.5,0.011170600000000001,113.14399999999999
6300,7.3,0.2286,55.5,0.011170600000000001,111.53399999999999
200,7.3,0.2286,39.6,0.0123481,130.989
250,7.3,0.2286,39.6,0.0123481,131.889
315,7.3,0.2286,39.6,0.0123481,132.149
400,7.3,0.2286,39.6,0.0123481,132.039
500,7.3,0.2286,39.6,0.0123481,130.299
630,7.3,0.2286,39.6,0.0123481,128.929
800,7.3,0.2286,39.6,0.0123481,126.29899999999999
1000,7.3,0.2286,39.6,0.0123481,122.539
1250,7.3,0.2286,39.6,0.0123481,123.189
1600,7.3,0.2286,39.6,0.0123481,121.059
2000,7.3,0.2286,39.6,0.0123481,117.809
2500,7.3,0.2286,39.6,0.0123481,116.559
3150,7.3,0.2286,39.6,0.0123481,114.309
4000,7.3,0.2286,39.6,0.0123481,114.079
5000,7.3,0.2286,39.6,0.0123481,111.959
6300,7.3,0.2286,39.6,0.0123481,110.839
200,7.3,0.2286,31.7,0.0132672,128.679
250,7.3,0.2286,31.7,0.0132672,130.089
315,7.3,0.2286,31.7,0.0132672,130.239
400,7.3,0.2286,31.7,0.0132672,130.269
500,7.3,0.2286,31.7,0.0132672,128.16899999999998
630,7.3,0.2286,31.7,0.0132672,126.189
800,7.3,0.2286,31.7,0.0132672,123.209
1000,7.3,0.2286,31.7,0.0132672,119.09899999999999
1250,7.3,0.2286,31.7,0.0132672,120.509
1600,7.3,0.2286,31.7,0.0132672,119.039
2000,7.3,0.2286,31.7,0.0132672,115.309
2500,7.3,0.2286,31.7,0.0132672,114.709
3150,7.3,0.2286,31.7,0.0132672,113.229
4000,7.3,0.2286,31.7,0.0132672,112.639
5000,7.3,0.2286,31.7,0.0132672,111.029
6300,7.3,0.2286,31.7,0.0132672,110.689
800,0.0,0.1524,71.3,0.0015988,125.81700000000001
1000,0.0,0.1524,71.3,0.0015988,127.307
1250,0.0,0.1524,71.3,0.0015988,128.92700000000002
1600,0.0,0.1524,71.3,0.0015988,129.667
2000,0.0,0.1524,71.3,0.0015988,128.64700000000002
2500,0.0,0.1524,71.3,0.0015988,128.127
3150,0.0,0.1524,71.3,0.0015988,129.377
4000,0.0,0.1524,71.3,0.0015988,128.857
5000,0.0,0.1524,71.3,0.0015988,126.45700000000001
6300,0.0,0.1524,71.3,0.0015988,125.427
8000,0.0,0.1524,71.3,0.0015988,122.527
10000,0.0,0.1524,71.3,0.0015988,120.24700000000001
12500,0.0,0.1524,71.3,0.0015988,117.087
16000,0.0,0.1524,71.3,0.0015988,113.29700000000001
500,0.0,0.1524,55.5,0.00172668,120.573
630,0.0,0.1524,55.5,0.00172668,123.583
800,0.0,0.1524,55.5,0.00172668,126.713
1000,0.0,0.1524,55.5,0.00172668,128.583
1250,0.0,0.1524,55.5,0.00172668,129.953
1600,0.0,0.1524,55.5,0.00172668,130.183
2000,0.0,0.1524,55.5,0.00172668,129.673
2500,0.0,0.1524,55.5,0.00172668,127.76299999999999
3150,0.0,0.1524,55.5,0.00172668,127.75299999999999
4000,0.0,0.1524,55.5,0.00172668,127.23299999999999
5000,0.0,0.1524,55.5,0.00172668,125.20299999999999
6300,0.0,0.1524,55.5,0.00172668,123.303
8000,0.0,0.1524,55.5,0.00172668,121.90299999999999
10000,0.0,0.1524,55.5,0.00172668,119.25299999999999
12500,0.0,0.1524,55.5,0.00172668,117.09299999999999
16000,0.0,0.1524,55.5,0.00172668,112.803
500,0.0,0.1524,39.6,0.00193287,119.51299999999999
630,0.0,0.1524,39.6,0.00193287,124.40299999999999
800,0.0,0.1524,39.6,0.00193287,127.90299999999999
1000,0.0,0.1524,39.6,0.00193287,130.033
1250,0.0,0.1524,39.6,0.00193287,131.023
1600,0.0,0.1524,39.6,0.00193287,131.013
2000,0.0,0.1524,39.6,0.00193287,129.63299999999998
2500,0.0,0.1524,39.6,0.00193287,126.863
3150,0.0,0.1524,39.6,0.00193287,125.603
4000,0.0,0.1524,39.6,0.00193287,125.34299999999999
5000,0.0,0.1524,39.6,0.00193287,123.45299999999999
6300,0.0,0.1524,39.6,0.00193287,121.31299999999999
8000,0.0,0.1524,39.6,0.00193287,120.553
10000,0.0,0.1524,39.6,0.00193287,115.413
500,0.0,0.1524,31.7,0.00209405,121.617
630,0.0,0.1524,31.7,0.00209405,125.99700000000001
800,0.0,0.1524,31.7,0.00209405,129.11700000000002
1000,0.0,0.1524,31.7,0.00209405,130.987
1250,0.0,0.1524,31.7,0.00209405,131.467
1600,0.0,0.1524,31.7,0.00209405,130.817
2000,0.0,0.1524,31.7,0.00209405,128.907
2500,0.0,0.1524,31.7,0.00209405,125.867
3150,0.0,0.1524,31.7,0.00209405,124.20700000000001
4000,0.0,0.1524,31.7,0.00209405,123.807
5000,0.0,0.1524,31.7,0.00209405,122.397
6300,0.0,0.1524,31.7,0.00209405,119.73700000000001
8000,0.0,0.1524,31.7,0.00209405,117.95700000000001
630,2.7,0.1524,71.3,0.00243851,127.404
800,2.7,0.1524,71.3,0.00243851,127.39399999999999
1000,2.7,0.1524,71.3,0.00243851,128.774
1250,2.7,0.1524,71.3,0.00243851,130.144
1600,2.7,0.1524,71.3,0.00243851,130.644
